event_key,country_code,yr,event_name,event_type,countries_affected,num_of_deaths,num_of_injuries,costs,foreign_aid,start_date,end_date
1,CAN,2016,Fort McMurray Wildfire,Wildfire,{'Canada'},2,,4068678000,0,2016-04-30,2016-06-01
2,CAN,2009,H1N1 (Swine) Flu,Pandemic,{'Worldwide'},428,8678,,,2009-04-26,2010-08-10
3,CAN,2013,Alberta Floods,Flooding,{'Canada'},5,,1700000000,,2013-06-19,2013-07-12
4,CAN,2010,Leamington Tornado,Tornado,{'Canada'},0,,,,2010-06-10,2010-06-10
5,CAN,2019,COVID19 Pandemic,Pandemic,{'Worldwide'},14642,,,,2019-11-17,2020-12-31
6,CAN,2017,British Columbia Wildfires,Wildfire,{'Canada'},0,,586000000,,2017-07-17,2017-09-15
7,CAN,2011,Richardson Fire,Wildfire,{'Canada'},0,,450000000,,2011-05-15,2011-09-30
8,CAN,2011,Slave Lake Wildfire,Wildfire,{'Canada'},1,,750000000,,2011-05-14,2011-05-16
9,CAN,2009,West Kelowna Wildfires,Wildfire,{'Canada'},0,,403000000,,2009-07-18,2009-08-14
10,CAN,2014,Northwest Territories fires,Wildfire,{'Canada'},0,,56000000,,2017-06-01,2017-08-31
11,HND,2009,"Northern, Belize Earthquake",Earthquake,{'Honduras'},7,40,37000000,,2009-05-28,2009-05-28
12,HND,2013,Atlantida,Earthquake,{'Honduras'},,,,,2013-04-10,2013-04-10
13,HND,2018,Honduras Earthquake,Earthquake,{'Honduras'},,,,,2018-01-09,2018-01-09
14,HND,2020,Hurricane Eta,Hurricane,"{'Honduras', 'Mexico'}",74,,5000000000,,2020-10-31,2020-11-13
15,HND,2020,Tropical Storm Amanda/Cristobal,Tropical Storm,{'Honduras'},33,,,,2020-05-31,2020--5-31
16,HND,2008,October 2008 Central America Floods,Flooding,"{'Honduras' , 'Costa Rica', 'Mexico'}",,,,10000000,2008-10-14,2008-10-31
17,HND,2020,Hurricane Iota,Hurricane,"{'Honduras', 'Mexico', 'Columbia', 'Jamaica', 'Nicaragua'}",13,1,,,2020-11-13,2020-11-18
18,HND,2019,COVID19 Pandemic,Pandemic,{'Worldwide'},3100,,,,2019-11-17,2020-12-31
19,HND,2005,Tropical Storm Gamma,Tropical Storm,{'Honduras'},34,,18000000,,2005-11-14,2005-11-22
20,HND,2005,Hurricane Beta,Hurricane,"{'Honduras', 'Panama', 'Nicaragua', 'Colombia'}",0,,9000000,,2005-10-26,2005-10-31
21,HTI,2010,7.0 Magnitude Earthquake,Earthquake,"{'Haiti', 'Dominican Republic'}",160000,1500000,8500000000,3500000000,2010-01-12,2010-01-12
22,HTI,2016,Hurricane Matthew,Hurricane,"{'Venezuala', 'Colombia', 'Jamaica', 'Haiti', 'Canada', 'United States'}",603,,16470000000,,2016-09-28,2016-10-10
23,HTI,2017,Hurricane Maria,Hurricane,"{'Dominica', 'United States', 'Dominican Republic', 'Bahamas', 'Haiti'}",3095,,91610000000,,2017-09-16,2017-10-02
24,HTI,2008,Hurricane Gustav,Hurricane,"{'Dominica', 'United States', 'Dominican Republic', 'Bahamas', 'Haiti'}",112,,8310000000,,2008-08-25,2008-09-07
25,HTI,2008,Hurricane Hanna,Hurricane,"{'Haiti', 'Canada', 'United States', 'Turks and Caicos Islands', 'Bahamas'}",537,,160000000,,2008-08-28,2008-09-12
26,HTI,2010,Cholera Outbreak,Disease,"{'Haiti', 'Cuba', 'Venezuala', 'United States', 'Mexico', 'Cuba', 'Dominican Republic'}",9794,,,,2010-10-01,2019-02-01
27,HTI,2008,Tropical Storm Fay,Tropical Storm,"{'United States', 'Haiti', 'Dominican Republic', 'Cuba', 'Mexico', 'Jamaica'}",13,,560000000,,2008-08-15,2008-08-29
28,HTI,2018,Haiti Earthquake,Earthquake,{'Haiti'},18,548,,,2018-10-06,2018-10-06
29,HTI,2020,Hurricane Laura,Hurricane,"{'Haiti', 'Jamaica', 'Cuba', 'Dominican Republic', 'Puerto Rico'}",31,8,,,2020-08-20,2020-08-29
30,HTI,2012,Hurricane Sandy,Hurricane,"{'Haiti', 'Greater Antilles', 'Bahamas', 'United States'}",54,21,750000000,,2012-10-22,2012-11-02
31,LBY,2011,First Libyan Civil War,Civil War,{'Libya'},25000,50000,,,2011-02-15,2011-10-23
32,LBY,2014,Second Libyan Civil War,Civil War,{'Libya'},14882,,,,2014-05-16,2020-10-23
33,LBY,2019,Major Flooding in Ghat District,Flooding,{'Libya'},4,30,,31300000,2019-05-28,2019-06-04
